Municipio,Data,Precipitacao,DiaSemChuva,Mes,DiaSemana,Estacao_Seca,Municipio_Freq,Latitude,Longitude,media_focos_mes_hist,prob_fogo,risco
NIQUELÂNDIA,2026-06-19,0.0,2,6,4,1,0.0702666861597576,-14.555710756178348,-48.323001755813664,16.54513888888889,0.9646833202087246,ALTO
CAVALCANTE,2026-06-19,0.0,2,6,4,1,0.0610547238995633,-13.605372533203356,-47.74998846789225,13.759398496240602,0.9419954631416224,ALTO
CRISTALINA,2026-06-19,0.0,3,6,4,1,0.0132176447915789,-16.729108968671913,-47.51949739378938,4.318181818181818,0.9127649176428663,ALTO
MINEIROS,2026-06-19,0.0,2,6,4,1,0.0275280840801993,-17.758011413392754,-52.819223041509886,9.509174311926603,0.9102112284758653,ALTO
BARRO ALTO,2026-06-19,0.0,2,6,4,1,0.0070197278941702,-14.9246949793272,-48.89831318663708,2.274193548387097,0.9039090442353567,ALTO
CAIAPÔNIA,2026-06-19,0.0,3,6,4,1,0.0142749973049324,-17.02333953529842,-51.80903000805655,7.114832535885167,0.8979475252976452,ALTO
IPAMERI,2026-06-19,0.0,4,6,4,1,0.0082203250915953,-17.453901960073118,-47.994679662267664,5.139896373056994,0.8949584049032026,ALTO
JATAÍ,2026-06-19,0.0,3,6,4,1,0.0181485107721479,-17.885693026802887,-51.7369228480587,4.259668508287293,0.8933841428635227,ALTO
RIO VERDE,2026-06-19,0.0,3,6,4,1,0.020077883759154,-17.80973337888139,-51.01793797116709,5.575418994413408,0.8932431744913986,ALTO
FORMOSA,2026-06-19,0.0,2,6,4,1,0.0326974450760009,-15.366385635807053,-47.255312528185605,4.150837988826815,0.8917521432225204,ALTO
LUZIÂNIA,2026-06-19,0.0,3,6,4,1,0.0070248965167913,-16.41158591502055,-47.9402484582945,3.549504950495049,0.8891292441270018,ALTO
NOVA CRIXÁS,2026-06-19,0.0,2,6,4,1,0.0140461011602819,-14.109081491545986,-50.60644025233707,11.0,0.8630278872624652,ALTO
PORANGATU,2026-06-19,0.0,1,6,4,1,0.0130825222287691,-13.295151272205969,-49.25062116604489,8.9,0.8595802156280378,ALTO
SÃO JOÃO D'ALIANÇA,2026-06-19,0.0,2,6,4,1,0.0174500083436336,-14.47092130372994,-47.44566869827519,4.917582417582418,0.852577392330571,ALTO
CATALÃO,2026-06-19,0.0,4,6,4,1,0.0067051802889407,-17.859620758114687,-47.65795514226879,6.779220779220779,0.8525537754647308,ALTO
PLANALTINA,2026-06-19,0.0,2,6,4,1,0.0220286696113048,-15.297339114149969,-47.82804373552916,6.205128205128205,0.8461177983012694,ALTO
FLORES DE GOIÁS,2026-06-19,0.0,2,6,4,1,0.0204832514475835,-14.69582900883936,-46.88334718801356,4.961538461538462,0.8324389374449652,ALTO
GOIÂNIA,2026-06-19,0.0,3,6,4,1,0.0056264149104425,-16.627186847284758,-49.26892340187793,3.121387283236994,0.8278848323900532,ALTO
PARAÚNA,2026-06-19,0.0,3,6,4,1,0.0093854803053326,-17.025229406670206,-50.64132283176662,7.314814814814815,0.8001068812738967,ALTO
